person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
38,39000,MORTGAGE,5.6,EDUCATION,B,16000,7.15,1,0.41,N,7
42,95000,MORTGAGE,8.8,DEBTCONSOLIDATION,B,50000,6.22,0,0.53,N,12
56,36200,RENT,5.6,PERSONAL,B,15800,7.43,0,0.44,N,10
42,142600,RENT,8.0,DEBTCONSOLIDATION,B,29400,5.4,0,0.21,N,4
33,69500,RENT,2.0,MEDICAL,D,29800,9.16,1,0.43,N,6
54,79700,MORTGAGE,2.9,VENTURE,A,11500,5.4,0,0.14,N,9
29,67900,RENT,3.6,MEDICAL,F,41400,11.73,1,0.61,N,3
50,172300,MORTGAGE,3.2,EDUCATION,A,50000,5.4,0,0.29,N,19
21,30200,RENT,4.8,VENTURE,C,10700,7.37,1,0.35,N,5
52,62200,MORTGAGE,5.2,DEBTCONSOLIDATION,B,23400,7.57,0,0.38,N,3
48,130700,RENT,6.2,EDUCATION,B,44800,6.28,0,0.34,N,8
31,55300,RENT,4.7,VENTURE,E,30200,10.06,0,0.55,N,6
45,126700,RENT,0.7,DEBTCONSOLIDATION,B,50000,7.65,1,0.39,N,7
39,44900,RENT,1.7,DEBTCONSOLIDATION,D,19000,7.22,1,0.42,Y,9
25,148900,RENT,9.0,DEBTCONSOLIDATION,A,50000,5.4,0,0.34,N,7
49,124000,RENT,2.0,DEBTCONSOLIDATION,C,50000,9.04,0,0.4,N,5
35,50700,MORTGAGE,6.6,PERSONAL,A,3900,6.62,0,0.08,Y,9
26,59000,MORTGAGE,3.9,MEDICAL,A,7000,6.96,0,0.12,N,8
67,80700,RENT,1.1,EDUCATION,C,7100,7.0,0,0.09,Y,4
69,179200,MORTGAGE,5.6,EDUCATION,C,50000,6.94,0,0.28,N,5
58,177000,RENT,11.0,EDUCATION,A,39900,6.83,0,0.23,N,10
29,23600,MORTGAGE,9.3,DEBTCONSOLIDATION,A,1700,6.86,0,0.07,N,10
70,82400,OTHER,3.5,EDUCATION,D,50000,5.55,0,0.61,N,11
57,95300,MORTGAGE,2.1,DEBTCONSOLIDATION,C,43300,6.96,1,0.45,N,8
47,117800,RENT,3.0,DEBTCONSOLIDATION,D,50000,8.88,1,0.42,Y,5
36,57100,MORTGAGE,3.9,PERSONAL,D,36000,6.67,1,0.63,N,5
45,88000,MORTGAGE,12.7,DEBTCONSOLIDATION,A,6700,6.72,1,0.08,N,13
37,54800,OWN,16.3,EDUCATION,A,25400,5.4,0,0.46,N,7
52,50900,RENT,4.1,VENTURE,D,19900,8.1,1,0.39,N,1
40,92800,RENT,2.1,MEDICAL,B,12100,6.39,0,0.13,Y,7
69,124200,RENT,0.8,EDUCATION,A,31100,5.4,0,0.25,N,15
37,45400,MORTGAGE,5.8,VENTURE,C,27300,7.82,0,0.6,N,9
39,67900,MORTGAGE,4.2,DEBTCONSOLIDATION,E,26000,9.2,1,0.38,Y,5
51,23200,RENT,7.8,PERSONAL,C,9100,9.38,0,0.39,N,13
23,47100,OTHER,4.5,DEBTCONSOLIDATION,C,25000,8.29,0,0.53,N,4
35,48500,MORTGAGE,8.4,EDUCATION,D,29600,8.13,0,0.61,N,6
41,48800,OWN,4.0,DEBTCONSOLIDATION,B,13600,6.05,1,0.28,N,4
53,82100,OTHER,5.3,HOMEIMPROVEMENT,B,19700,7.9,0,0.24,N,7
59,110700,RENT,2.1,DEBTCONSOLIDATION,C,50000,8.11,0,0.45,N,12
26,55200,RENT,4.0,MEDICAL,E,29500,11.12,1,0.53,N,7
42,32300,MORTGAGE,14.8,MEDICAL,A,3700,5.76,0,0.11,N,14
27,47500,RENT,9.3,EDUCATION,B,13000,6.28,0,0.27,N,4
56,79500,RENT,4.5,MEDICAL,A,8200,6.1,0,0.1,N,6
55,68900,RENT,1.9,HOMEIMPROVEMENT,B,27100,6.24,0,0.39,N,26
47,79900,RENT,8.7,DEBTCONSOLIDATION,C,22600,6.56,0,0.28,Y,9
58,50500,MORTGAGE,10.6,MEDICAL,B,28100,7.4,0,0.56,N,12
24,51300,OWN,1.7,VENTURE,F,22600,12.47,1,0.44,Y,7
64,70700,RENT,3.5,VENTURE,B,11100,6.24,0,0.16,N,8
26,71000,OWN,2.1,MEDICAL,C,32500,6.64,0,0.46,N,8
35,32900,RENT,12.6,HOMEIMPROVEMENT,C,16900,6.94,0,0.51,N,4
58,114900,MORTGAGE,7.9,DEBTCONSOLIDATION,C,34800,8.48,0,0.3,Y,4
39,52500,MORTGAGE,11.8,DEBTCONSOLIDATION,A,9200,5.4,0,0.18,N,3
35,35400,RENT,9.1,MEDICAL,E,22900,11.16,0,0.65,N,6
38,106800,OWN,2.6,DEBTCONSOLIDATION,B,17100,8.46,0,0.16,N,7
62,176500,RENT,4.8,EDUCATION,A,50000,5.4,0,0.28,N,7
51,102400,RENT,10.2,PERSONAL,C,34000,7.5,0,0.33,N,5
46,54400,MORTGAGE,11.8,MEDICAL,A,7100,6.13,1,0.13,N,3
24,51000,RENT,1.6,MEDICAL,B,16500,5.4,0,0.32,N,7
29,71800,OWN,13.0,PERSONAL,A,4500,7.47,0,0.06,Y,13
67,78600,OWN,4.0,MEDICAL,C,25600,7.11,0,0.33,Y,6
27,68900,RENT,11.0,HOMEIMPROVEMENT,A,21900,8.22,1,0.32,N,6
59,49300,RENT,8.7,EDUCATION,B,23700,6.96,0,0.48,N,13
35,111200,MORTGAGE,1.7,VENTURE,B,39600,7.38,0,0.36,N,3
48,70500,OWN,6.8,MEDICAL,B,23700,5.4,0,0.34,N,12
28,67700,OTHER,0.9,VENTURE,B,21700,6.32,0,0.32,N,7
37,36800,RENT,3.5,MEDICAL,C,8300,6.39,1,0.23,N,1
35,90500,RENT,9.5,VENTURE,A,12200,5.4,0,0.13,N,12
50,49700,OWN,9.3,DEBTCONSOLIDATION,D,29500,8.89,0,0.59,N,4
66,111800,RENT,4.3,DEBTCONSOLIDATION,A,5000,5.4,0,0.04,N,17
69,145100,RENT,21.4,MEDICAL,B,31600,6.77,0,0.22,N,5
62,83800,RENT,3.8,PERSONAL,E,36600,13.19,0,0.44,Y,4
36,62100,RENT,2.9,MEDICAL,B,17800,7.77,1,0.29,N,3
69,79000,RENT,1.9,PERSONAL,B,14400,6.96,0,0.18,N,3
49,55200,MORTGAGE,8.3,EDUCATION,C,28100,8.16,0,0.51,N,4
48,62800,RENT,8.8,HOMEIMPROVEMENT,C,27800,7.81,0,0.44,N,10
65,110900,RENT,16.8,EDUCATION,A,18400,6.82,0,0.17,N,6
45,41000,RENT,1.3,MEDICAL,B,8700,6.52,0,0.21,N,2
28,66000,RENT,5.4,VENTURE,A,14900,5.4,0,0.23,N,7
65,182800,RENT,1.1,HOMEIMPROVEMENT,C,50000,8.09,0,0.27,N,7
53,54200,RENT,8.0,PERSONAL,A,6500,6.49,0,0.12,N,5
58,168800,OWN,1.6,HOMEIMPROVEMENT,B,35100,5.95,0,0.21,N,2
54,35600,OWN,17.5,DEBTCONSOLIDATION,C,20100,6.15,1,0.56,N,6
31,31900,RENT,8.6,DEBTCONSOLIDATION,C,17500,7.47,0,0.55,N,6
64,180600,RENT,10.1,VENTURE,A,50000,5.4,1,0.28,N,2
62,183900,OWN,1.1,HOMEIMPROVEMENT,A,27100,5.6,0,0.15,N,7
37,93400,MORTGAGE,6.1,DEBTCONSOLIDATION,C,44600,7.81,0,0.48,N,8
21,47000,MORTGAGE,5.0,PERSONAL,C,23500,5.88,0,0.5,N,4
48,79500,OTHER,0.4,EDUCATION,C,32600,6.25,1,0.41,N,4
34,86200,RENT,6.0,PERSONAL,D,41800,10.64,0,0.48,N,6
29,46100,MORTGAGE,2.4,MEDICAL,C,22300,8.18,1,0.48,N,5
50,45900,RENT,3.6,MEDICAL,E,27200,9.45,0,0.59,N,7
26,38600,OWN,5.6,DEBTCONSOLIDATION,D,23900,5.61,0,0.62,N,7
36,172200,RENT,1.7,DEBTCONSOLIDATION,D,22100,7.72,0,0.13,Y,15
25,112600,RENT,9.0,HOMEIMPROVEMENT,C,18800,7.02,0,0.17,Y,9
53,40500,RENT,1.5,DEBTCONSOLIDATION,D,7100,8.41,1,0.18,Y,9
35,55000,RENT,7.8,PERSONAL,A,6300,7.3,0,0.11,N,5
33,53400,MORTGAGE,7.7,EDUCATION,D,22700,9.56,0,0.43,N,13
38,61000,MORTGAGE,4.1,VENTURE,A,10300,5.4,0,0.17,N,7
34,116700,OWN,1.8,MEDICAL,D,50000,8.7,0,0.43,N,2
61,33800,RENT,2.3,DEBTCONSOLIDATION,E,17900,9.38,0,0.53,N,3
67,40500,RENT,2.1,PERSONAL,D,17300,7.63,0,0.43,N,12
52,37700,MORTGAGE,16.5,EDUCATION,A,4600,5.95,0,0.12,N,5
69,47200,RENT,12.0,HOMEIMPROVEMENT,D,26500,8.91,0,0.56,N,3
24,64200,MORTGAGE,7.2,PERSONAL,A,17400,5.69,0,0.27,N,8
38,89100,MORTGAGE,6.9,VENTURE,C,50000,9.79,0,0.56,N,4
59,99700,RENT,5.5,DEBTCONSOLIDATION,B,32500,7.4,0,0.33,N,8
25,69900,RENT,8.3,DEBTCONSOLIDATION,D,32900,9.71,0,0.47,N,5
43,146100,RENT,9.9,MEDICAL,C,50000,6.89,1,0.34,N,7
67,65800,OWN,9.6,MEDICAL,A,8500,5.74,0,0.13,N,6
43,175200,RENT,5.6,EDUCATION,A,50000,7.14,0,0.29,N,9
23,49900,RENT,6.8,DEBTCONSOLIDATION,A,7600,6.49,0,0.15,N,7
36,60200,RENT,6.8,EDUCATION,A,7700,6.29,0,0.13,N,1
62,78200,RENT,4.2,MEDICAL,D,28000,10.23,1,0.36,N,4
22,84500,MORTGAGE,6.0,VENTURE,C,46600,7.32,0,0.55,N,6
36,126600,OWN,12.1,PERSONAL,A,50000,6.14,0,0.39,N,12
32,101900,RENT,1.4,VENTURE,E,33200,9.48,1,0.33,Y,3
51,45600,MORTGAGE,11.2,DEBTCONSOLIDATION,A,3800,5.72,0,0.08,N,1
47,83900,RENT,6.2,HOMEIMPROVEMENT,A,12500,5.79,0,0.15,N,5
29,61600,MORTGAGE,4.4,PERSONAL,A,3800,5.4,0,0.06,N,3
69,148100,RENT,5.9,MEDICAL,B,39400,6.87,1,0.27,N,11
67,92200,RENT,6.6,HOMEIMPROVEMENT,C,50000,7.33,0,0.54,N,11
57,51500,OTHER,4.4,VENTURE,E,33200,9.66,0,0.64,N,8
37,54500,MORTGAGE,4.0,EDUCATION,D,33700,7.34,0,0.62,N,2
40,204300,RENT,7.4,EDUCATION,B,50000,7.74,0,0.24,N,2
30,94200,RENT,10.0,DEBTCONSOLIDATION,C,50000,8.08,0,0.53,N,10
56,86300,RENT,2.1,DEBTCONSOLIDATION,B,5400,8.7,0,0.06,Y,9
30,132200,OWN,2.2,HOMEIMPROVEMENT,D,50000,8.7,0,0.38,Y,2
47,55200,RENT,11.3,DEBTCONSOLIDATION,C,22700,6.44,0,0.41,N,2
68,37600,RENT,6.2,PERSONAL,E,17800,11.66,0,0.47,Y,6
62,107800,OTHER,17.8,DEBTCONSOLIDATION,B,37500,8.34,0,0.35,N,3
70,72200,MORTGAGE,6.2,PERSONAL,A,8200,6.27,0,0.11,N,8
50,60100,RENT,6.5,PERSONAL,C,28200,8.97,1,0.47,N,5
50,48800,RENT,6.8,MEDICAL,C,21200,8.24,1,0.43,N,4
23,39800,MORTGAGE,6.5,MEDICAL,D,17900,8.41,1,0.45,N,5
62,171000,RENT,8.4,HOMEIMPROVEMENT,A,43400,7.07,0,0.25,N,20
49,28800,MORTGAGE,4.7,DEBTCONSOLIDATION,A,3800,5.4,0,0.13,N,2
32,57400,RENT,0.8,MEDICAL,C,12000,6.8,1,0.21,N,3
54,94100,MORTGAGE,2.5,DEBTCONSOLIDATION,A,5500,5.4,0,0.06,N,5
32,60500,RENT,5.9,DEBTCONSOLIDATION,E,38500,11.02,0,0.64,N,7
42,25400,MORTGAGE,2.5,VENTURE,B,3300,7.17,0,0.13,Y,1
34,71300,MORTGAGE,5.7,DEBTCONSOLIDATION,A,12800,8.71,0,0.18,N,1
47,43800,RENT,7.9,PERSONAL,A,2700,7.4,0,0.06,N,7
52,136600,RENT,14.2,MEDICAL,B,50000,7.69,0,0.37,N,8
33,79900,MORTGAGE,5.5,VENTURE,A,19400,6.34,1,0.24,N,6
47,129100,OWN,8.9,DEBTCONSOLIDATION,B,50000,5.4,1,0.39,N,3
22,51600,MORTGAGE,6.0,VENTURE,C,27500,8.9,0,0.53,N,6
48,104700,RENT,4.0,DEBTCONSOLIDATION,D,21300,8.76,0,0.2,Y,4
24,48400,RENT,4.6,PERSONAL,B,13400,7.89,0,0.28,N,5
25,70000,RENT,5.8,DEBTCONSOLIDATION,F,44300,10.03,1,0.63,N,5
21,71500,MORTGAGE,5.0,DEBTCONSOLIDATION,B,15600,6.93,0,0.22,N,1
55,165200,RENT,5.2,VENTURE,C,50000,6.2,0,0.3,N,4
52,284600,MORTGAGE,13.0,DEBTCONSOLIDATION,A,50000,5.4,0,0.18,N,7
44,44900,MORTGAGE,2.4,VENTURE,C,18100,8.24,0,0.4,N,12
51,109300,RENT,6.7,EDUCATION,A,33600,6.79,1,0.31,N,6
68,69300,RENT,8.0,DEBTCONSOLIDATION,D,4100,9.81,0,0.06,Y,3
30,92100,MORTGAGE,10.1,HOMEIMPROVEMENT,A,9700,5.61,0,0.11,N,6
41,92800,RENT,3.5,VENTURE,C,42700,5.84,0,0.46,N,7
67,132100,RENT,7.3,EDUCATION,C,50000,8.9,0,0.38,N,3
37,62000,RENT,1.7,EDUCATION,D,27900,8.25,1,0.45,N,6
22,141500,MORTGAGE,6.0,DEBTCONSOLIDATION,B,50000,5.45,0,0.35,N,4
63,125400,RENT,4.3,VENTURE,C,36000,9.15,1,0.29,N,3
24,45300,MORTGAGE,7.8,DEBTCONSOLIDATION,C,14000,7.93,0,0.31,N,8
60,62600,OWN,3.8,PERSONAL,B,18400,5.78,0,0.29,N,7
56,48700,MORTGAGE,7.8,EDUCATION,C,25400,9.47,0,0.52,N,15
55,93500,RENT,6.5,VENTURE,B,50000,5.4,0,0.53,N,15
53,104400,OWN,4.9,MEDICAL,C,50000,7.57,0,0.48,N,6
31,64200,RENT,8.2,VENTURE,D,32000,9.57,0,0.5,N,4
51,38000,RENT,5.0,MEDICAL,E,7700,10.56,0,0.2,Y,9
47,62500,OWN,6.9,DEBTCONSOLIDATION,B,26500,8.25,0,0.42,N,9
30,44500,RENT,7.9,DEBTCONSOLIDATION,A,1900,7.44,0,0.04,N,4
32,110600,RENT,2.0,DEBTCONSOLIDATION,B,50000,6.86,0,0.45,N,15
28,34100,RENT,4.3,HOMEIMPROVEMENT,C,14200,6.93,0,0.42,N,9
54,49700,RENT,3.1,HOMEIMPROVEMENT,A,9400,6.58,1,0.19,N,5
26,41600,MORTGAGE,10.0,EDUCATION,B,12800,5.4,1,0.31,Y,4
61,316600,RENT,12.9,DEBTCONSOLIDATION,A,50000,7.04,0,0.16,N,5
46,68200,MORTGAGE,8.1,MEDICAL,A,12300,6.25,0,0.18,N,4
42,97500,OWN,11.5,HOMEIMPROVEMENT,A,28500,6.38,0,0.29,N,9
29,47000,MORTGAGE,3.0,EDUCATION,A,12000,5.4,0,0.26,N,13
28,104800,RENT,9.5,HOMEIMPROVEMENT,A,38700,5.7,0,0.37,N,12
21,44600,OWN,5.0,MEDICAL,A,9700,5.4,0,0.22,N,3
36,73200,MORTGAGE,17.7,DEBTCONSOLIDATION,A,21400,5.65,0,0.29,N,2
33,59200,MORTGAGE,17.0,VENTURE,A,2400,5.4,0,0.04,N,4
50,107400,MORTGAGE,3.2,HOMEIMPROVEMENT,C,27500,5.4,0,0.26,Y,11
62,56300,MORTGAGE,6.2,MEDICAL,D,11500,9.67,0,0.2,Y,6
60,120200,MORTGAGE,12.6,MEDICAL,B,9100,8.48,0,0.08,Y,1
45,94300,RENT,3.3,HOMEIMPROVEMENT,B,14600,6.38,0,0.15,N,14
27,27800,MORTGAGE,3.1,VENTURE,D,15100,9.52,0,0.54,N,6
37,96700,RENT,5.9,VENTURE,C,38400,8.06,0,0.4,N,8
62,68700,OTHER,5.5,VENTURE,E,20000,8.19,1,0.29,Y,4
38,176000,RENT,7.6,DEBTCONSOLIDATION,B,50000,6.58,0,0.28,N,7
31,51300,RENT,3.4,MEDICAL,D,25400,7.48,0,0.5,N,4
48,91900,RENT,1.8,MEDICAL,F,50000,10.7,0,0.54,Y,3
61,110600,RENT,14.1,EDUCATION,B,50000,6.83,0,0.45,N,11
54,102400,RENT,7.8,PERSONAL,B,42400,7.47,1,0.41,N,2
53,89500,MORTGAGE,9.3,DEBTCONSOLIDATION,A,8800,6.38,0,0.1,N,1
49,72300,RENT,1.2,PERSONAL,C,26700,9.18,0,0.37,N,5
67,115600,MORTGAGE,2.0,DEBTCONSOLIDATION,B,50000,6.13,0,0.43,N,13
37,170300,RENT,4.4,HOMEIMPROVEMENT,A,9400,6.48,0,0.06,N,5
30,60700,RENT,3.1,EDUCATION,F,39000,11.99,0,0.64,N,4
46,75300,RENT,11.5,DEBTCONSOLIDATION,A,6100,7.13,0,0.08,N,4
29,41400,MORTGAGE,11.3,DEBTCONSOLIDATION,A,5700,7.24,0,0.14,N,10
60,89700,MORTGAGE,6.0,DEBTCONSOLIDATION,C,46100,6.72,0,0.51,N,2
24,101200,RENT,1.6,VENTURE,B,10500,7.4,0,0.1,Y,4
33,101200,RENT,1.5,DEBTCONSOLIDATION,D,35800,7.38,0,0.35,N,4
24,75400,RENT,5.4,DEBTCONSOLIDATION,B,19300,7.89,0,0.26,N,8
24,88700,RENT,0.4,DEBTCONSOLIDATION,D,50000,10.51,1,0.56,N,8
27,59400,RENT,3.3,PERSONAL,E,16500,7.79,0,0.28,Y,3
52,58700,OWN,1.6,PERSONAL,B,9700,5.4,0,0.17,N,4
27,35000,RENT,5.5,DEBTCONSOLIDATION,F,21600,11.38,0,0.62,N,5
42,129300,RENT,19.1,DEBTCONSOLIDATION,A,9500,7.68,0,0.07,N,5
56,61100,OTHER,4.7,EDUCATION,A,10700,5.74,0,0.18,N,3
38,78600,RENT,7.4,HOMEIMPROVEMENT,A,14000,7.44,0,0.18,N,10
33,66200,RENT,3.0,VENTURE,E,40600,8.48,0,0.61,N,4
25,18900,RENT,2.9,MEDICAL,E,10600,7.69,0,0.56,N,2
63,103200,RENT,2.6,HOMEIMPROVEMENT,D,45600,7.54,0,0.44,N,5
60,55300,MORTGAGE,3.8,VENTURE,C,8900,8.5,0,0.16,Y,1
34,101400,RENT,5.8,DEBTCONSOLIDATION,A,9900,6.88,0,0.1,N,4
33,54200,RENT,13.4,VENTURE,A,10500,5.43,0,0.19,N,1
65,43400,MORTGAGE,1.6,DEBTCONSOLIDATION,B,10700,7.25,0,0.25,N,6
26,85000,RENT,5.2,PERSONAL,F,50000,13.93,1,0.59,Y,6
59,159300,RENT,15.4,PERSONAL,A,50000,6.25,0,0.31,N,8
64,50600,RENT,2.8,PERSONAL,B,4600,5.92,0,0.09,Y,4
21,46300,MORTGAGE,3.5,PERSONAL,D,23500,8.23,0,0.51,N,5
67,215300,RENT,16.6,HOMEIMPROVEMENT,A,24600,5.4,0,0.11,N,2
67,82300,RENT,1.4,DEBTCONSOLIDATION,C,41900,5.55,0,0.51,N,7
60,52100,MORTGAGE,1.7,PERSONAL,E,19300,7.96,0,0.37,Y,8
52,56500,MORTGAGE,3.5,PERSONAL,A,13800,5.86,0,0.24,N,7
58,60700,RENT,7.3,DEBTCONSOLIDATION,C,36300,7.34,0,0.6,N,9
68,106500,MORTGAGE,2.2,DEBTCONSOLIDATION,A,13900,8.59,0,0.13,N,7
35,27200,RENT,1.9,DEBTCONSOLIDATION,D,13200,6.84,0,0.49,N,4
31,60100,RENT,9.6,VENTURE,F,32800,10.97,0,0.55,N,4
35,55300,RENT,2.6,HOMEIMPROVEMENT,C,15900,7.23,0,0.29,N,2
33,48800,OTHER,1.2,DEBTCONSOLIDATION,E,27100,10.0,0,0.56,N,1
65,120900,MORTGAGE,4.0,DEBTCONSOLIDATION,A,24300,5.4,0,0.2,N,6
63,69700,RENT,7.7,VENTURE,B,16700,6.29,0,0.24,N,7
36,48500,MORTGAGE,9.7,DEBTCONSOLIDATION,C,21500,10.08,0,0.44,N,7
69,134800,RENT,9.9,DEBTCONSOLIDATION,B,50000,5.4,0,0.37,N,8
